,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WIN/LOSS,DATE
0,46,87,0.529,20,47,0.426,13,16,0.813,12,39,51,35,7,7,17,14,125,W,2016-04-13
1,34,77,0.442,10,27,0.37,14,18,0.778,7,39,46,19,7,6,13,18,92,W,2016-04-10
2,39,87,0.448,10,36,0.278,12,13,0.923,7,41,48,20,3,7,11,14,100,W,2016-04-09
3,45,83,0.542,12,25,0.48,10,11,0.909,7,36,43,33,8,2,15,22,112,W,2016-04-07
4,49,98,0.5,12,35,0.343,7,8,0.875,9,37,46,35,9,5,23,29,117,L,2016-04-05
5,50,88,0.568,18,30,0.6,18,22,0.818,11,32,43,30,5,8,12,23,136,W,2016-04-03
6,38,83,0.458,20,43,0.465,10,13,0.769,8,33,41,25,12,7,22,24,106,L,2016-04-01
7,39,89,0.438,12,35,0.343,13,18,0.722,9,37,46,19,6,6,18,21,103,W,2016-03-30
8,38,87,0.437,11,25,0.44,15,23,0.652,7,48,55,27,11,6,16,23,102,W,2016-03-29
9,44,83,0.53,14,33,0.424,15,20,0.75,7,37,44,32,9,4,18,15,117,W,2016-03-27
10,43,88,0.489,21,45,0.467,21,23,0.913,7,33,40,30,8,10,7,16,128,W,2016-03-25
11,39,87,0.448,15,34,0.441,21,28,0.75,11,39,50,23,9,5,12,20,114,W,2016-03-23
12,43,87,0.494,8,24,0.333,15,24,0.625,13,31,44,31,13,10,16,20,109,W,2016-03-21
13,31,82,0.378,9,36,0.25,8,10,0.8,7,30,37,24,12,3,10,21,79,L,2016-03-19
14,48,95,0.505,22,38,0.579,12,14,0.857,5,37,42,35,8,7,12,21,130,W,2016-03-18
15,46,91,0.505,18,37,0.486,11,12,0.917,12,42,54,32,4,8,12,13,121,W,2016-03-16
16,47,81,0.58,12,25,0.48,19,23,0.826,8,38,46,30,6,6,18,22,125,W,2016-03-14
17,42,84,0.5,11,33,0.333,28,33,0.848,7,35,42,28,6,9,8,25,123,W,2016-03-12
18,40,89,0.449,18,40,0.45,30,39,0.769,16,40,56,23,5,6,8,20,128,W,2016-03-11
19,48,84,0.571,13,30,0.433,6,10,0.6,9,30,39,36,10,7,15,23,115,W,2016-03-09
20,42,84,0.5,16,35,0.457,19,27,0.704,10,40,50,27,13,7,24,26,119,W,2016-03-07
21,37,92,0.402,4,30,0.133,17,21,0.81,17,32,49,32,5,3,20,20,95,L,2016-03-06
22,47,87,0.54,11,34,0.324,16,21,0.762,4,36,40,33,11,3,8,20,121,W,2016-03-03
23,41,103,0.398,12,36,0.333,15,17,0.882,18,33,51,28,11,3,11,22,109,W,2016-03-01
24,45,95,0.474,14,32,0.438,17,25,0.68,4,28,32,25,15,7,11,22,121,W,2016-02-27
25,53,88,0.602,13,25,0.52,11,16,0.688,8,34,42,35,9,4,20,21,130,W,2016-02-25
26,42,90,0.467,13,28,0.464,21,25,0.84,9,34,43,23,7,2,13,24,118,W,2016-02-24
27,39,89,0.438,14,45,0.311,10,12,0.833,6,37,43,30,14,8,13,17,102,W,2016-02-22
28,42,82,0.512,11,31,0.355,20,26,0.769,6,33,39,32,8,2,14,19,115,W,2016-02-20
29,36,92,0.391,12,34,0.353,21,28,0.75,14,33,47,25,7,4,20,17,105,L,2016-02-19
30,37,89,0.416,14,40,0.35,24,29,0.828,8,42,50,24,12,7,13,22,112,W,2016-02-10
31,44,94,0.468,12,34,0.353,23,26,0.885,14,35,49,28,5,6,12,26,123,W,2016-02-09
32,48,97,0.495,7,26,0.269,13,20,0.65,13,33,46,24,7,4,10,23,116,W,2016-02-06
33,49,93,0.527,20,41,0.488,16,29,0.552,11,38,49,35,10,5,18,24,134,W,2016-02-03
34,42,73,0.575,16,29,0.552,16,23,0.696,3,41,44,31,8,5,18,21,116,W,2016-01-31
35,47,95,0.495,13,30,0.433,1,2,0.5,12,45,57,37,5,7,23,18,108,W,2016-01-30
36,47,81,0.58,14,29,0.483,19,21,0.905,7,33,40,33,5,4,9,18,127,W,2016-01-27
37,44,85,0.518,11,26,0.423,21,25,0.84,10,35,45,31,15,3,21,25,120,W,2016-01-25
38,43,90,0.478,14,33,0.424,22,25,0.88,14,36,50,31,9,4,17,24,122,W,2016-01-22
39,50,95,0.526,12,32,0.375,13,20,0.65,12,43,55,38,8,9,10,17,125,W,2016-01-20
40,46,85,0.541,19,40,0.475,21,27,0.778,6,31,37,33,7,2,8,25,132,W,2016-01-18
41,34,94,0.362,10,25,0.4,17,23,0.739,14,33,47,18,6,9,12,16,95,L,2016-01-16
42,43,86,0.5,13,33,0.394,17,20,0.85,12,35,47,26,12,4,19,17,116,W,2016-01-14
43,42,88,0.477,10,26,0.385,16,20,0.8,7,32,39,25,9,11,13,25,110,L,2016-01-13
44,41,86,0.477,7,23,0.304,22,30,0.733,9,40,49,25,5,1,9,18,111,W,2016-01-11
45,49,87,0.563,19,37,0.514,11,15,0.733,9,39,48,35,5,8,18,25,128,W,2016-01-09
46,46,87,0.529,18,32,0.563,18,21,0.857,5,43,48,36,6,5,15,20,128,W,2016-01-08
47,40,86,0.465,13,31,0.419,16,21,0.762,10,44,54,26,9,9,10,17,109,W,2016-01-05
48,45,87,0.517,15,34,0.441,6,6,1.0,3,34,37,32,4,9,11,19,111,W,2016-01-04
49,43,86,0.5,10,28,0.357,15,23,0.652,9,38,47,34,9,5,13,22,111,W,2016-01-02
50,43,84,0.512,11,23,0.478,17,27,0.63,12,31,43,35,8,5,18,20,114,W,2015-12-31
51,33,81,0.407,7,19,0.368,18,24,0.75,8,29,37,20,9,0,12,18,91,L,2015-12-30
52,43,89,0.483,20,42,0.476,16,24,0.667,13,46,59,33,12,8,18,25,122,W,2015-12-28
53,32,78,0.41,5,18,0.278,20,27,0.741,8,41,49,21,7,10,16,19,89,W,2015-12-25
54,39,83,0.47,9,23,0.391,16,16,1.0,9,31,40,26,10,9,15,11,103,W,2015-12-23
55,42,87,0.483,9,26,0.346,28,37,0.757,15,31,46,31,7,4,15,22,121,W,2015-12-18
56,46,88,0.523,15,32,0.469,21,27,0.778,9,40,49,32,12,4,17,17,128,W,2015-12-16
57,36,89,0.404,6,27,0.222,17,25,0.68,15,34,49,23,9,8,16,20,95,L,2015-12-12
58,42,107,0.393,9,31,0.29,31,39,0.795,17,50,67,28,10,11,18,22,124,W,2015-12-11
59,52,95,0.547,16,35,0.457,11,15,0.733,10,36,46,29,10,6,15,19,131,W,2015-12-08
60,44,86,0.512,14,33,0.424,12,23,0.522,10,36,46,25,9,9,12,18,114,W,2015-12-06
61,35,73,0.479,16,30,0.533,26,36,0.722,8,35,43,22,2,5,12,24,112,W,2015-12-05
62,46,88,0.523,16,34,0.471,8,11,0.727,11,42,53,31,2,9,18,23,116,W,2015-12-02
63,40,82,0.488,14,29,0.483,12,15,0.8,14,31,45,21,2,5,15,19,106,W,2015-11-30
64,39,80,0.488,16,30,0.533,26,31,0.839,13,35,48,32,8,7,14,19,120,W,2015-11-28
65,46,81,0.568,22,38,0.579,21,31,0.677,11,42,53,32,7,9,23,26,135,W,2015-11-27
66,45,92,0.489,12,35,0.343,9,15,0.6,12,36,48,32,9,6,8,13,111,W,2015-11-24
67,47,89,0.528,15,29,0.517,9,13,0.692,11,35,46,35,15,8,21,25,118,W,2015-11-22
68,39,79,0.494,10,29,0.345,18,24,0.75,11,38,49,20,7,6,15,15,106,W,2015-11-20
69,38,73,0.521,17,30,0.567,31,36,0.861,8,36,44,31,4,4,19,20,124,W,2015-11-19
70,43,80,0.538,11,29,0.379,18,27,0.667,9,25,34,31,10,6,20,29,115,W,2015-11-17
71,43,97,0.443,12,34,0.353,9,10,0.9,11,39,50,31,9,10,14,19,107,W,2015-11-14
72,48,89,0.539,18,38,0.474,15,16,0.938,6,27,33,34,8,7,11,25,129,W,2015-11-12
73,36,75,0.48,11,27,0.407,17,23,0.739,7,29,36,22,12,8,23,30,100,W,2015-11-11
74,43,91,0.473,12,21,0.571,11,13,0.846,13,28,41,29,13,4,16,18,109,W,2015-11-09
75,38,92,0.413,8,39,0.205,19,22,0.864,15,31,46,27,13,2,18,15,103,W,2015-11-07
76,46,93,0.495,17,37,0.459,10,18,0.556,13,40,53,40,10,6,20,22,119,W,2015-11-06
77,39,85,0.459,10,26,0.385,24,31,0.774,9,33,42,28,6,5,12,22,112,W,2015-11-04
78,43,84,0.512,11,25,0.44,22,30,0.733,10,55,65,32,8,13,14,15,119,W,2015-11-02
79,46,84,0.548,17,30,0.567,25,35,0.714,3,35,38,26,10,4,10,24,134,W,2015-10-31
80,43,93,0.462,9,26,0.346,17,25,0.68,11,36,47,26,9,4,8,24,112,W,2015-10-30
81,41,96,0.427,9,30,0.3,20,22,0.909,21,35,56,29,8,7,20,29,111,W,2015-10-27
